direction,input_mode,causal,seqlen,batch_size,num_seqs,total_tokens,max_seqlen,dtype,head_dim,nheads_q,nheads_kv,impl,ms,tflops,gbps,seq_lengths
backward,batched,False,4096,4,4,16384,4096,bf16,512,32,4,SDPA,177.60963134765626,61.906081299374826,10.579652565811129,4096;4096;4096;4096
backward,batched,False,4096,4,4,16384,4096,bf16,512,32,4,Flex,239.4338134765625,45.92131795468512,7.847881486396385,4096;4096;4096;4096
backward,varlen,False,4096,4,4,16384,6144,bf16,512,32,4,SplitD,136.66025390625,91.49495323678859,13.749778288053246,2048;3456;4736;6144
forward,batched,False,8192,2,2,16384,8192,bf16,512,32,4,SplitD,33.76353759765625,260.52048002276257,35.777043460157216,8192;8192
forward,batched,False,8192,2,2,16384,8192,bf16,512,32,4,SDPA,68.67352294921875,128.08565287545173,17.58988763243203,8192;8192
forward,varlen,False,8192,2,2,16384,12288,bf16,512,32,4,SplitD,43.7298583984375,251.43269794243977,27.62322120949656,4096;12288
backward,batched,False,8192,2,2,16384,8192,bf16,512,32,4,SplitD,256.12802734375,85.85640854527357,7.33636303487445,8192;8192
backward,batched,False,8192,2,2,16384,8192,bf16,512,32,4,SDPA,464.604248046875,47.33110523195508,4.044405964644599,8192;8192
backward,batched,False,8192,2,2,16384,8192,bf16,512,32,4,Flex,480.95712890625,45.721814344509745,3.9068933155709002,8192;8192
backward,varlen,False,8192,2,2,16384,12288,bf16,512,32,4,SplitD,337.38544921875,81.47295847538994,5.569440520778609,4096;12288
forward,batched,False,16384,1,1,16384,16384,bf16,512,32,4,SplitD,67.72722778320312,259.7505703426857,17.835656227753994,16384
forward,batched,False,16384,1,1,16384,16384,bf16,512,32,4,SDPA,144.32301025390626,121.89453375082888,8.369833402690583,16384
forward,varlen,False,16384,1,2,16384,12288,bf16,512,32,4,SplitD,43.76976623535156,251.20344985712,27.598035262623046,4096;12288
backward,batched,False,16384,1,1,16384,16384,bf16,512,32,4,SplitD,561.852001953125,78.27766913378244,3.344382836526349,16384
backward,batched,False,16384,1,1,16384,16384,bf16,512,32,4,SDPA,918.54375,47.88064271412221,2.0456817565848113,16384
backward,batched,False,16384,1,1,16384,16384,bf16,512,32,4,Flex,964.76201171875,45.5868541431141,1.9476805358996503,16384
backward,varlen,False,16384,1,2,16384,12288,bf16,512,32,4,SplitD,337.2781005859375,81.49888963038732,5.571213158327259,4096;12288
forward,batched,True,512,32,32,16384,512,bf16,512,32,4,SplitD,1.5604512214660644,176.15283525860463,774.1091393200398,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
forward,batched,True,512,32,32,16384,512,bf16,512,32,4,SDPA,2.1812000274658203,126.02141182959772,553.8050324542869,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
forward,varlen,True,512,32,32,16384,768,bf16,512,32,4,SplitD,1.6102256774902344,186.71153672608315,750.1802814887269,256;256;256;256;384;384;384;384;384;384;384;384;512;512;512;512;512;512;512;512;640;640;640;640;640;640;640;640;768;768;768;768
backward,batched,True,512,32,32,16384,512,bf16,512,32,4,SplitD,9.479534149169922,72.49246181788104,198.22157528326846,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
backward,batched,True,512,32,32,16384,512,bf16,512,32,4,SDPA,19.092208862304688,35.99346583290239,98.41963313684246,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
backward,batched,True,512,32,32,16384,512,bf16,512,32,4,Flex,18.543768310546874,37.05798928522818,101.33043945179581,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
backward,varlen,True,512,32,32,16384,768,bf16,512,32,4,SplitD,11.203166198730468,67.08989793306581,167.72474483266453,256;256;256;256;384;384;384;384;384;384;384;384;512;512;512;512;512;512;512;512;640;640;640;640;640;640;640;640;768;768;768;768
forward,batched,True,1024,16,16,16384,1024,bf16,512,32,4,SplitD,2.4524208068847657,224.16863058111866,492.55802617921574,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
forward,batched,True,1024,16,16,16384,1024,bf16,512,32,4,SDPA,4.225868988037109,130.09296204976724,285.8487935663831,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
forward,varlen,True,1024,16,16,16384,1536,bf16,512,32,4,SplitD,2.642193603515625,225.94879245398553,457.1805602711038,512;640;640;768;768;896;896;1024;1024;1152;1152;1280;1280;1408;1408;1536
backward,batched,True,1024,16,16,16384,1024,bf16,512,32,4,SplitD,16.7009521484375,82.29408254717886,112.5114409824711,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
backward,batched,True,1024,16,16,16384,1024,bf16,512,32,4,SDPA,30.469277954101564,45.10738773627516,61.6702566706887,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
backward,batched,True,1024,16,16,16384,1024,bf16,512,32,4,Flex,34.08067626953125,40.3275311748649,55.1352965281356,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
backward,varlen,True,1024,16,16,16384,1536,bf16,512,32,4,SplitD,20.56383819580078,72.57891844649774,91.37633617364824,512;640;640;768;768;896;896;1024;1024;1152;1152;1280;1280;1408;1408;1536
forward,batched,True,2048,8,8,16384,2048,bf16,512,32,4,SplitD,4.296724700927735,255.89529334718534,281.13496583553075,2048;2048;2048;2048;2048;2048;2048;2048
forward,batched,True,2048,8,8,16384,2048,bf16,512,32,4,SDPA,8.579964447021485,128.14873937591815,140.78840995889448,2048;2048;2048;2048;2048;2048;2048;2048
forward,varlen,True,2048,8,8,16384,3072,bf16,512,32,4,SplitD,4.906790542602539,248.15064304134293,246.1811934933958,1024;1280;1664;1920;2176;2432;2816;3072
backward,batched,True,2048,8,8,16384,2048,bf16,512,32,4,SplitD,30.862368774414062,89.06571914592733,60.88476894741125,2048;2048;2048;2048;2048;2048;2048;2048
backward,batched,True,2048,8,8,16384,2048,bf16,512,32,4,SDPA,51.48277587890625,53.39220783093481,36.49857957192808,2048;2048;2048;2048;2048;2048;2048;2048
backward,batched,True,2048,8,8,16384,2048,bf16,512,32,4,Flex,62.291680908203126,44.127546878864464,30.165315249223756,2048;2048;2048;2048;2048;2048;2048;2048
backward,varlen,True,2048,8,8,16384,3072,bf16,512,32,4,SplitD,40.57505493164062,75.02289463732133,46.31042878846996,1024;1280;1664;1920;2176;2432;2816;3072
forward,batched,True,4096,4,4,16384,4096,bf16,512,32,4,SplitD,8.166311645507813,269.27985986937637,147.9198448989494,4096;4096;4096;4096
forward,batched,True,4096,4,4,16384,4096,bf16,512,32,4,SDPA,16.94115753173828,129.8036011667005,71.30324771120023,4096;4096;4096;4096
forward,varlen,True,4096,4,4,16384,6144,bf16,512,32,4,SplitD,10.072686767578125,248.26987732263996,119.92426448603261,2048;3456;4736;6144
backward,batched,True,4096,4,4,16384,4096,bf16,512,32,4,SplitD,59.693267822265625,92.09678644581437,31.47839380472171,4096;4096;4096;4096
backward,batched,True,4096,4,4,16384,4096,bf16,512,32,4,SDPA,94.48258666992187,58.185940210188214,19.887772532779174,4096;4096;4096;4096
backward,batched,True,4096,4,4,16384,4096,bf16,512,32,4,Flex,118.28179931640625,46.47847911219137,15.886198915299786,4096;4096;4096;4096
backward,varlen,True,4096,4,4,16384,6144,bf16,512,32,4,SplitD,80.82037963867188,77.35501612576608,23.24968282011003,2048;3456;4736;6144
forward,batched,True,8192,2,2,16384,8192,bf16,512,32,4,SplitD,15.934109497070313,276.01457815465847,75.80966807226338,8192;8192
forward,batched,True,8192,2,2,16384,8192,bf16,512,32,4,SDPA,34.06364135742187,129.11263552115054,35.46184447297225,8192;8192
forward,varlen,True,8192,2,2,16384,12288,bf16,512,32,4,SplitD,21.793118286132813,252.26119854441177,55.4284860082936,4096;12288
backward,batched,True,8192,2,2,16384,8192,bf16,512,32,4,SplitD,114.30047607421875,96.19484236111614,16.439548255073557,8192;8192
backward,batched,True,8192,2,2,16384,8192,bf16,512,32,4,SDPA,248.94580078125,44.1667071437026,7.548021240378863,8192;8192
backward,batched,True,8192,2,2,16384,8192,bf16,512,32,4,Flex,234.58720703125,46.87005918568829,8.010019880366652,8192;8192
backward,varlen,True,8192,2,2,16384,12288,bf16,512,32,4,SplitD,175.5166259765625,78.30537574847912,10.70581309061238,4096;12288
forward,batched,True,16384,1,1,16384,16384,bf16,512,32,4,SplitD,31.94427490234375,275.357416911117,37.81458667297444,16384
forward,batched,True,16384,1,1,16384,16384,bf16,512,32,4,SDPA,72.69859008789062,120.99399742930039,16.615996961421256,16384
forward,varlen,True,16384,1,2,16384,12288,bf16,512,32,4,SplitD,21.809916687011718,252.0669023075139,55.385793964053356,4096;12288
backward,batched,True,16384,1,1,16384,16384,bf16,512,32,4,SplitD,232.38115234375,94.63001768315073,8.086061081323914,16384
backward,batched,True,16384,1,1,16384,16384,bf16,512,32,4,SDPA,487.562353515625,45.102400538017086,3.853964889723139,16384
backward,batched,True,16384,1,1,16384,16384,bf16,512,32,4,Flex,464.447021484375,47.34712795711146,4.045775093991458,16384
backward,varlen,True,16384,1,2,16384,12288,bf16,512,32,4,SplitD,175.134130859375,78.47639566176704,10.729194719382214,4096;12288
